,id,latest.cost.avg_net_price,latest.cost.avg_net_price.overall,latest.cost.avg_net_price.consumer.median_by_pred_degree,latest.cost.avg_net_price.consumer.overall_median,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.cost.booksupply,latest.cost.net_price.by_income_level.0-30000,latest.cost.net_price.by_income_level.30001-48000,latest.cost.net_price.by_income_level.48001-75000,latest.cost.net_price.by_income_level.75001-110000,latest.cost.net_price.by_income_level.110001-plus,latest.cost.net_price.by_income_level.0-48000,latest.cost.net_price.by_income_level.30001-75000,latest.cost.net_price.by_income_level.75000-plus,latest.cost.net_price.consumer.by_income_level.0-48000,latest.cost.net_price.consumer.by_income_level.0-30000,latest.cost.net_price.consumer.by_income_level.30001-48000,latest.cost.net_price.consumer.by_income_level.30001-75000,latest.cost.net_price.consumer.by_income_level.48001-75000,latest.cost.net_price.consumer.by_income_level.750001-111000,latest.cost.net_price.consumer.by_income_level.75000-plus,latest.cost.net_price.consumer.by_income_level.110001-plus,latest.cost.title_iv.all,latest.cost.title_iv.by_income_level.0-30000,latest.cost.title_iv.by_income_level.30001-48000,latest.cost.title_iv.by_income_level.48001-75000,latest.cost.title_iv.by_income_level.75001-110000,latest.cost.title_iv.by_income_level.110001-plus,latest.cost.roomboard.oncampus,latest.cost.roomboard.offcampus,latest.cost.otherexpense.oncampus,latest.cost.otherexpense.offcampus,latest.cost.otherexpense.withfamily
0,100654,15529.0,15529.0,19525.5,15950.5,23445.0,10024.0,18634.0,1600.0,14694.0,15379.0,17694.0,17883.0,20483.0,14860.0,16213.0,19029.0,14860.0,14694.0,15379.0,16213.0,17694.0,17883.0,19029.0,20483.0,690.0,420.0,135.0,76.0,33.0,26.0,9240.0,9240.0,3090.0,3090.0,3440.0
1,100663,16530.0,16530.0,19525.5,15950.5,25542.0,8568.0,20400.0,1200.0,13443.0,14800.0,17857.0,19141.0,19717.0,13937.0,16277.0,19447.0,13937.0,13443.0,14800.0,16277.0,17857.0,19141.0,19447.0,19717.0,1232.0,378.0,216.0,202.0,204.0,232.0,12307.0,12307.0,5555.0,5555.0,5555.0
2,100706,17208.0,17208.0,19525.5,15950.5,24861.0,11338.0,23734.0,2200.0,13631.0,15967.0,17054.0,19114.0,19862.0,14640.0,16534.0,19521.0,14640.0,13631.0,15967.0,16534.0,17054.0,19114.0,19521.0,19862.0,538.0,117.0,89.0,97.0,107.0,128.0,10652.0,10652.0,4076.0,4076.0,4076.0
3,100724,19534.0,19534.0,19525.5,15950.5,21892.0,11068.0,19396.0,1600.0,19581.0,19396.0,19853.0,19620.0,17559.0,19530.0,19505.0,19083.0,19530.0,19581.0,19396.0,19505.0,19853.0,19620.0,19083.0,17559.0,508.0,326.0,121.0,38.0,17.0,6.0,6050.0,7320.0,3392.0,4228.0,4228.0
4,100751,20917.0,20917.0,19525.5,15950.5,30016.0,11620.0,31090.0,1000.0,17523.0,19434.0,21649.0,23957.0,23605.0,18203.0,20470.0,23726.0,18203.0,17523.0,19434.0,20470.0,21649.0,23957.0,23726.0,23605.0,1272.0,373.0,206.0,181.0,177.0,335.0,13810.0,13810.0,4620.0,4620.0,5692.0
5,100812,,,19525.5,15950.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,100830,13678.0,13678.0,19525.5,15950.5,20225.0,8860.0,18820.0,1200.0,12134.0,13246.0,15400.0,17204.0,16341.0,12447.0,14094.0,16737.0,12447.0,12134.0,13246.0,14094.0,15400.0,17204.0,16737.0,16341.0,421.0,204.0,80.0,52.0,39.0,46.0,6980.0,10296.0,3830.0,3830.0,3830.0
7,100858,24018.0,24018.0,19525.5,15950.5,32196.0,11796.0,31956.0,1200.0,17866.0,19064.0,23468.0,25389.0,26300.0,18395.0,21563.0,26024.0,18395.0,17866.0,19064.0,21563.0,23468.0,25389.0,26024.0,26300.0,1253.0,154.0,122.0,160.0,247.0,570.0,13778.0,13778.0,5904.0,5904.0,5904.0
8,101480,17523.0,17523.0,19525.5,15950.5,21560.0,11120.0,20840.0,1196.0,14738.0,16163.0,19115.0,20976.0,21277.0,15165.0,17601.0,21092.0,15165.0,14738.0,16163.0,17601.0,19115.0,20976.0,21092.0,21277.0,1200.0,462.0,198.0,188.0,216.0,136.0,8110.0,9648.0,2003.0,2692.0,4843.0
9,101587,16747.0,16747.0,19525.5,15950.5,22645.0,10990.0,20090.0,1216.0,14961.0,16062.0,18866.0,19596.0,17763.0,15208.0,17518.0,18649.0,15208.0,14961.0,16062.0,17518.0,18866.0,19596.0,18649.0,17763.0,294.0,128.0,37.0,40.0,43.0,46.0,7510.0,7200.0,3505.0,3505.0,3505.0
